c[?7l[2J[0mSeaBIOS (version 1.13.0-1ubuntu1)


iPXE (http://ipxe.org) 00:03.0 CA00 PCI2.10 PnP PMM+1FF8CA10+1FECCA10 CA00
Press Ctrl-B to configure iPXE (PCI 00:03.0)...                                                                               


Booting from Hard Disk..xv6...
cpu0: starting 0
sb: size 1000 nblocks 941 ninodes 200 nlog 30 logstart 2 inodestart 32 bmap start 58
init: starting sh
$ time benchmark 1

YEEET: 3 0 359 
YEEET: 3 0 359.9 
YEEET: 3 1 360 
YEEET: 3 1 359.9 
YEEET: 3 1 360 
YEEET: 3 1 360.9 
YEEET: 3 1 361 
YEEET: 3 1 360.9 
YEEET: 3 1 361 
YEEET: 3 1 360.9 
YEEET: 3 1 361 
YEEET: 3 1 360.9 
YEEET: 3 1 361 
YEEET: 3 1 361.9 
YEEET: 3 1 362 
YEEET: 3 1 362.9 
YEEET: 3 1 363 
YEEET: 4 0 363 
YEEET: 4 0 363.9 
YEEET: 4 1 364 
YEEET: 4 1 363.9 
YEEET: 4 1 364 
YEEET: 4 1 364.9 
YEEET: 4 1 365 
YEEET: 4 1 365.9 
YEEET: 4 1 366 
YEEET: 4 1 365.9 
YEEET: 4 1 366 
YEEET: 4 1 365.9 
YEEET: 4 1 366 
YEEET: 4 1 366.9 
YEEET: 4 1 367 
YEEET: 4 1 366.9 
YEEET: 4 1 367 
YEEET: 4 1 369.9 
YEEET: 4 2 370 
YEEET: 5 0 370 
YEEET: 6 0 370 
YEEET: 7 0 370 
YEEET: 5 0 369.9 
YEEET: 5 0 370 
YEEET: 6 0 370.9 
YEEET: 6 0 371 
YEEET: 5 0 370.9 
YEEET: 5 0 371 
YEEET: 6 0 371.9 
YEEET: 6 0 372 
YEEET: 5 0 371.9 
YEEET: 5 0 372 
YEEET: 4 2 373.9 
YEEET: 4 2 374 
YEEET: 8 0 375 
YEEET: 9 0 375 
YEEET: 7 0 374.9 
YEEET: 7 0 375 
YEEET: 6 0 375.9 
YEEET: 6 0 376 
YEEET: 5 0 375.9 
YEEET: 5 0 376 
YEEET: 8 0 376.9 
YEEET: 8 0 377 
YEEET: 9 0 376.9 
YEEET: 9 0 377 
YEEET: 7 0 377.9 
YEEET: 7 0 378 
YEEET: 6 0 377.9 
YEEET: 6 0 378 
YEEET: 5 0 378.9 
YEEET: 5 0 379 
YEEET: 8 0 378.9 
YEEET: 8 0 379 
YEEET: 9 0 379.9 
YEEET: 9 0 380 
YEEET: 7 0 379.9 
YEEET: 7 0 380 
YEEET: 6 0 380.9 
YEEET: 6 0 381 
YEEET: 5 0 380.9 
YEEET: 5 0 381 
YEEET: 8 0 381.9 
YEEET: 8 0 382 
YEEET: 9 0 381.9 
YEEET: 9 0 382 
YEEET: 7 0 381.9 
YEEET: 7 0 382 
YEEET: 6 0 382.9 
YEEET: 6 0 383 
YEEET: 5 0 382.9 
YEEET: 5 0 383 
YEEET: 8 0 383.9 
YEEET: 8 0 384 
YEEET: 9 0 383.9 
YEEET: 9 0 384 
YEEET: 7 0 383.9 
YEEET: 7 0 384 
